## Station Listing
## Station Lines are identified by a line with 
## "Line" LineName CentrePos CoastPnt
## Station positions are identified by a line with 
## Longitude Latitude DistFromCoast Depth StationNumber StationLabel
# Line GG 	13.4535/-19.8348	13.022/-19.9506
10.8351	-22.5773	333.6	 3603	18	CC18
10.6606	-22.6198	352.1	 3750	19	CC19
10.4859	-22.6622	370.6	 3859	20	CC20
10.3112	-22.7043	389.2	 3962	21	CC21
# Line BB 	14.196/-22.2368	14.3179/-22.2044
14.1448	-22.2502	 18.5	   55	 1	BB1
13.9716	-22.2959	 37.1	  103	 2	BB2
13.7983	-22.3414	 55.6	  128	 3	BB3
13.6248	-22.3867	 74.1	  154	 4	BB4
13.4513	-22.4318	 92.7	  192	 5	BB5
13.2776	-22.4767	111.2	  203	 6	BB6
13.1038	-22.5215	129.7	  255	 7	BB7
12.9299	-22.5660	148.3	  378	 8	BB8
12.7559	-22.6104	166.8	  718	 9	BB9
12.5818	-22.6546	185.3	 1371	10	BB10
12.4076	-22.6986	203.9	 1938	11	BB11
12.2333	-22.7424	222.4	 2437	12	BB12
12.0588	-22.7860	240.9	 2697	13	BB13
11.8843	-22.8294	259.5	 2860	14	BB14
11.7096	-22.8726	278.0	 3023	15	BB15
11.5348	-22.9157	296.5	 3172	16	BB16
11.3599	-22.9585	315.1	 3316	17	BB17
11.1849	-23.0012	333.6	 3453	18	BB18
11.0098	-23.0436	352.1	 3593	19	BB19
10.8346	-23.0859	370.6	 3709	20	BB20
10.6592	-23.1280	389.2	 3803	21	BB21
# Line AA 	14.3475/-22.7168	14.5191/-22.6713
14.3454	-22.7171	 18.5	   58	 1	AA1
14.1716	-22.7628	 37.1	   97	 2	AA2
13.9977	-22.8083	 55.6	  124	 3	AA3
13.8237	-22.8536	 74.1	  151	 4	AA4
13.6495	-22.8986	 92.7	  179	 5	AA5
13.4753	-22.9435	111.2	  206	 6	AA6
13.3009	-22.9883	129.7	  259	 7	AA7
13.1264	-23.0328	148.3	  361	 8	AA8
12.9518	-23.0771	166.8	  603	 9	AA9
12.7770	-23.1212	185.3	  948	10	AA10
12.6022	-23.1652	203.9	 1421	11	AA11
12.4273	-23.2089	222.4	 1777	12	AA12
12.2522	-23.2525	240.9	 2192	13	AA13
12.0770	-23.2959	259.5	 2511	14	AA14
11.9017	-23.3390	278.0	 2724	15	AA15
11.7263	-23.3820	296.5	 2923	16	AA16
11.5508	-23.4248	315.1	 3136	17	AA17
11.3751	-23.4674	333.6	 3336	18	AA18
11.1994	-23.5098	352.1	 3442	19	AA19
11.0235	-23.5519	370.6	 3584	20	AA20
10.8476	-23.5939	389.2	 3686	21	AA21
# Line A 	14.5/-23.1967	14.4655/-23.2058
14.2911	-23.2516	 18.5	   75	 1	A1 
14.1166	-23.2973	 37.1	  114	 2	A2 
13.9420	-23.3428	 55.6	  141	 3	A3 
13.7673	-23.3880	 74.1	  168	 4	A4 
13.5924	-23.4331	 92.7	  198	 5	A5 
